source,date,time,title,url,row_count,collected_at
sin,2026-07-16,,52주 신고가 돌파종목(2026년 07월 16일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/571,7,2026-07-20 10:21:34
allnewhigh,2026-07-16,,52주 신고가 돌파종목(2026년 07월 16일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/571,7,2026-07-20 10:21:34
sin,2026-07-15,,52주 신고가 돌파종목(2026년 07월 15일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/570,10,2026-07-20 10:21:34
sin,2026-07-14,,52주 신고가 돌파종목(2026년 07월 14일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/569,8,2026-07-18 17:52:21
sin,2026-07-13,,52주 신고가 돌파종목(2026년 07월 13일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/568,5,2026-07-18 17:52:21
sin,2026-07-10,,52주 신고가 돌파종목(2026년 07월 10일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/567,7,2026-07-18 17:52:21
sin,2026-07-09,,52주 신고가 돌파종목(2026년 07월 09일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/566,2,2026-07-18 17:52:21
sin,2026-07-08,,52주 신고가 돌파종목(2026년 07월 08일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/565,5,2026-07-18 17:52:21
sin,2026-07-07,,52주 신고가 돌파종목(2026년 07월 07일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/564,6,2026-07-18 17:52:21
sin,2026-07-06,,52주 신고가 돌파종목(2026년 07월 06일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/563,11,2026-07-18 17:52:21
sin,2026-07-03,,52주 신고가 돌파종목(2026년 07월 03일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/562,7,2026-07-18 17:52:21
sin,2026-07-02,,52주 신고가 돌파종목(2026년 07월 02일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/561,5,2026-07-18 17:52:21
sin,2026-07-01,,52주 신고가 돌파종목(2026년 07월 01일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/560,17,2026-07-18 17:52:21
allnewhigh,2026-07-15,,52주 신고가 돌파종목(2026년 07월 15일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/570,10,2026-07-20 10:21:34
allnewhigh,2026-07-14,,52주 신고가 돌파종목(2026년 07월 14일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/569,8,2026-07-18 17:52:21
allnewhigh,2026-07-13,,52주 신고가 돌파종목(2026년 07월 13일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/568,5,2026-07-18 17:52:21
allnewhigh,2026-07-10,,52주 신고가 돌파종목(2026년 07월 10일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/567,7,2026-07-18 17:52:21
allnewhigh,2026-07-09,,52주 신고가 돌파종목(2026년 07월 09일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/566,2,2026-07-18 17:52:21
allnewhigh,2026-07-08,,52주 신고가 돌파종목(2026년 07월 08일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/565,5,2026-07-18 17:52:21
allnewhigh,2026-07-07,,52주 신고가 돌파종목(2026년 07월 07일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/564,6,2026-07-18 17:52:21
allnewhigh,2026-07-06,,52주 신고가 돌파종목(2026년 07월 06일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/563,11,2026-07-18 17:52:21
allnewhigh,2026-07-03,,52주 신고가 돌파종목(2026년 07월 03일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/562,7,2026-07-18 17:52:21
allnewhigh,2026-07-02,,52주 신고가 돌파종목(2026년 07월 02일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/561,5,2026-07-18 17:52:21
allnewhigh,2026-07-01,,52주 신고가 돌파종목(2026년 07월 01일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/560,17,2026-07-18 17:52:21
sin,2026-06-30,,52주 신고가 돌파종목(2026년 06월 30일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/559,17,2026-07-18 18:21:48
sin,2026-06-29,,52주 신고가 돌파종목(2026년 06월 29일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/558,8,2026-07-18 18:21:48
sin,2026-06-26,,52주 신고가 돌파종목(2026년 06월 26일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/557,11,2026-07-18 18:21:48
sin,2026-06-25,,52주 신고가 돌파종목(2026년 06월 25일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/556,10,2026-07-18 18:21:48
sin,2026-06-24,,52주 신고가 돌파종목(2026년 06월 24일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/555,5,2026-07-18 18:21:48
sin,2026-06-23,,52주 신고가 돌파종목(2026년 06월 23일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/554,7,2026-07-18 18:21:48
sin,2026-06-22,,52주 신고가 돌파종목(2026년 06월 22일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/553,19,2026-07-18 18:21:48
sin,2026-06-19,,52주 신고가 돌파종목(2026년 06월 19일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/552,20,2026-07-18 18:21:48
sin,2026-06-18,,52주 신고가 돌파종목(2026년 06월 18일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/551,19,2026-07-18 18:21:48
sin,2026-06-17,,52주 신고가 돌파종목(2026년 06월 17일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/550,24,2026-07-18 18:21:48
sin,2026-06-16,,52주 신고가 돌파종목(2026년 06월 16일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/549,18,2026-07-18 18:21:48
sin,2026-06-15,,52주 신고가 돌파종목(2026년 06월 15일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/548,24,2026-07-18 18:21:48
sin,2026-06-12,,52주 신고가 돌파종목(2026년 06월 12일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/547,29,2026-07-18 18:21:48
sin,2026-06-11,,52주 신고가 돌파종목(2026년 06월 11일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/546,21,2026-07-18 18:21:48
sin,2026-06-10,,52주 신고가 돌파종목(2026년 06월 10일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/545,13,2026-07-18 18:21:48
sin,2026-06-09,,52주 신고가 돌파종목(2026년 06월 09일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/544,16,2026-07-18 18:21:48
sin,2026-06-08,,52주 신고가 돌파종목(2026년 06월 08일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/543,6,2026-07-18 18:21:48
sin,2026-06-05,,52주 신고가 돌파종목(2026년 06월 05일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/542,14,2026-07-18 18:21:48
sin,2026-06-04,,52주 신고가 돌파종목(2026년 06월 04일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/541,24,2026-07-18 18:21:48
sin,2026-06-02,,52주 신고가 돌파종목(2026년 06월 02일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/540,17,2026-07-18 18:21:48
sin,2026-06-01,,52주 신고가 돌파종목(2026년 06월 01일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/539,25,2026-07-18 18:21:48
allnewhigh,2026-06-30,,52주 신고가 돌파종목(2026년 06월 30일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/559,17,2026-07-18 18:21:48
allnewhigh,2026-06-29,,52주 신고가 돌파종목(2026년 06월 29일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/558,8,2026-07-18 18:21:48
allnewhigh,2026-06-26,,52주 신고가 돌파종목(2026년 06월 26일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/557,11,2026-07-18 18:21:48
allnewhigh,2026-06-25,,52주 신고가 돌파종목(2026년 06월 25일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/556,10,2026-07-18 18:21:48
allnewhigh,2026-06-24,,52주 신고가 돌파종목(2026년 06월 24일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/555,5,2026-07-18 18:21:48
allnewhigh,2026-06-23,,52주 신고가 돌파종목(2026년 06월 23일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/554,7,2026-07-18 18:21:48
allnewhigh,2026-06-22,,52주 신고가 돌파종목(2026년 06월 22일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/553,19,2026-07-18 18:21:48
allnewhigh,2026-06-19,,52주 신고가 돌파종목(2026년 06월 19일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/552,20,2026-07-18 18:21:48
allnewhigh,2026-06-18,,52주 신고가 돌파종목(2026년 06월 18일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/551,19,2026-07-18 18:21:48
allnewhigh,2026-06-17,,52주 신고가 돌파종목(2026년 06월 17일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/550,24,2026-07-18 18:21:48
allnewhigh,2026-06-16,,52주 신고가 돌파종목(2026년 06월 16일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/549,18,2026-07-18 18:21:48
allnewhigh,2026-06-15,,52주 신고가 돌파종목(2026년 06월 15일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/548,24,2026-07-18 18:21:48
allnewhigh,2026-06-12,,52주 신고가 돌파종목(2026년 06월 12일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/547,29,2026-07-18 18:21:48
allnewhigh,2026-06-11,,52주 신고가 돌파종목(2026년 06월 11일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/546,21,2026-07-18 18:21:48
allnewhigh,2026-06-10,,52주 신고가 돌파종목(2026년 06월 10일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/545,13,2026-07-18 18:21:48
allnewhigh,2026-06-09,,52주 신고가 돌파종목(2026년 06월 09일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/544,16,2026-07-18 18:21:48
allnewhigh,2026-06-08,,52주 신고가 돌파종목(2026년 06월 08일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/543,6,2026-07-18 18:21:48
allnewhigh,2026-06-05,,52주 신고가 돌파종목(2026년 06월 05일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/542,14,2026-07-18 18:21:48
allnewhigh,2026-06-04,,52주 신고가 돌파종목(2026년 06월 04일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/541,24,2026-07-18 18:21:48
allnewhigh,2026-06-02,,52주 신고가 돌파종목(2026년 06월 02일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/540,17,2026-07-18 18:21:48
allnewhigh,2026-06-01,,52주 신고가 돌파종목(2026년 06월 01일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/539,25,2026-07-18 18:21:48
sin,2026-07-20,,52주 신고가 돌파종목(2026년 07월 20일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/sin/572,4,2026-07-20 21:45:14
allnewhigh,2026-07-20,,52주 신고가 돌파종목(2026년 07월 20일) - AWAKEPLUS,https://www.awakeplus.co.kr/board/allnewhigh/572,4,2026-07-20 21:45:14
